DQU34    Protein
DQU35    Protein
DQU36    Protein
DQX32    Protein
DSTYA    Protein
DTBP4    Protein
DTEZA    Protein
DTFG2    Protein
DTFG3    Protein
DTFG4    Protein
DTFLE    Protein
DTFP2    Protein
DTFP3    Protein
DTFP4    Protein
DTHA3    Protein
DTHG2    Protein
DTHG3    Protein
DTHIC    Protein
DTZA4    Protein
DYA    Protein
DYG    Protein
ESC    Protein
F2F    Protein
FCL    Protein
FGA4    Protein
FGL    Protein
FHO    Protein
FLA    Protein
FME    Protein
FP9    Protein
FPG2    Protein
FPG3    Protein
FPG4    Protein
FPH2    Protein
FPH3    Protein
FT6    Protein
FTR    Protein
FUA2    Protein
FVAL    Protein
FZN    Protein
GBUT    Protein
GDPR    Protein
GGB    Protein
GGBP    Protein
GHG    Protein
GL3    Protein
GME    Protein
GPL    Protein
GYS    Protein
HCS    Protein
HGA    Protein
HHK    Protein
HIC    Protein
HICP    Protein
HIL4    Protein
HIP    Protein
HIX    Protein
HL2    Protein
HLEU    Protein
HLU    Protein
HMR    Protein
HOX    Protein
HPE    Protein
HQA    Protein
HRG    Protein
HRP    Protein
HSER    Protein
HT7    Protein
HTI    Protein
HTR    Protein
HVA    Protein
HYP    Protein
HZP    Protein
I2M    Protein
I4G    Protein
IAM    Protein
IAS    Protein
IGL    Protein
IIL    Protein
ILX    Protein
IT1    Protein
IT1P    Protein
IYR    Protein
JJJ    Protein
KCR    Protein
KCX    Protein
KHB    Protein
KPI    Protein
KYN    Protein
LA2    Protein
LDO    Protein
LE1    Protein
LED    Protein
LEF    Protein
LEM    Protein
LLP    Protein
LLPP    Protein
LME    Protein
LMQ    Protein
LVG    Protein
LVN    Protein
LYM    Protein
LYX    Protein
LYZ    Protein
M0H    Protein
M2S    Protein
M3L    Protein
MAA    Protein
MCL    Protein
MCS    Protein
MDO    Protein
ME0    Protein
MEG    Protein
MEN    Protein
MEQ    Protein
MGY    Protein
MHO    Protein
MHS    Protein
MHSP    Protein
MIR    Protein
MLY    Protein
MLZ    Protein
MOT5    Protein
MP34    Protein
MP8    Protein
MPH2    Protein
MTR5    Protein
MTR6    Protein
MTY    Protein
NAL    Protein
NAO1    Protein
NAO2    Protein
NAPH    Protein
NEP    Protein
NIY    Protein
NLE    Protein
NMGLYD    Protein
NMM    Protein
NRQ    Protein
NVA    Protein
OAS    Protein
OBF    Protein
OCS    Protein
OCY    Protein
OLT    Protein
OMT    Protein
OMX    Protein
OMY    Protein
ONL    Protein
ORN    Protein
